Order_ID,Date,Restaurant,Food_Item,Category,Price,Quantity,Delivery_Time_Minutes,City,Customer_Rating,Payment_Method
100001,08-01-2024,Burger Hub,Pizza,Fast Food,427.75,2,79,Mumbai,2.7,Cash
100002,18-04-2024,Sushi World,Sandwich,Snacks,1075.88,8,10,DELHI,1.6,UPI
100003,06-04-2024,Pizza Nation,Noodles,Chinese,217.34,5,68,mumbai,4.9,Card
100004,26-04-2024,Sushi World,Paneer Tikka,Indian,145.07,5,39,Bangalore,2.5,UPI
100005,28-04-2024,Pasta Point,Noodles,Chinese,459.11,2,31,Pune,2,UPI
100006,13-06-2024,Burger Hub,Noodles,Chinese,125.58,5,,mumbai,3,UPI
100007,13-01-2024,Wok Station,Biryani,Indian,1140.76,7,27,DELHI,1.4,UPI
100008,09-03-2024,Healthy Bites,Salad,Healthy,-289,1,24,Bangalore,3.1,Cash
100009,09-06-2024,Cafe Aroma,Sushi,Japanese,84.61,5,32,Pune,1.4,UPI
100010,02-03-2024,Pasta Point,Pasta,Italian,845.92,1,72,Hyderabad,6,Cash
100011,15-05-2024,Biryani House,Pizza,Fast Food,1468.74,3,70,bangalore,1.7,UPI
100012,17-01-2024,Sushi World,Sandwich,Snacks,646.57,6,76,Hyderabad,2,UPI
100013,18-05-2024,Sushi World,Paneer Tikka,Indian,not_available,three,40,Hyderabad,2.9,Wallet
100014,21-06-2024,Biryani House,Biryani,Indian,350.38,7,62,Pune,3.9,Cash
100015,28-04-2024,Cafe Aroma,Burger,Fast Food,1216.84,4,67,delhi,1.7,Wallet
100016,16-01-2024,Pizza Nation,Sandwich,Snacks,1498.98,4,72,Delhi,4.5,Wallet
100017,18-05-2024,Biryani House,Sushi,Japanese,1069.16,8,47,Bangalore,1.2,Cash
100018,18-01-2024,Healthy Bites,Burger,Fast Food,1385.53,1,20,Mumbai,1.3,Wallet
100019,22-02-2024,Healthy Bites,Pizza,Fast Food,924.22,7,82,Bangalore,4.7,UPI
100020,08-03-2024,Cafe Aroma,Sushi,Japanese,996.61,2,89,Bangalore,1.9,Cash
100021,18-06-2024,Pasta Point,Biryani,Indian,702.22,5,77,DELHI,6,Card
100022,09-05-2024,Pizza Nation,Pizza,Fast Food,300.74,4,36,Delhi,4.4,Cash
100023,25-06-2024,Tandoori Express,Salad,Healthy,-116,8,64,Kolkata,1.4,Cash
100024,31-03-2024,Healthy Bites,Noodles,Chinese,690.3,6,36,bangalore,3.7,UPI
100025,20-06-2024,Spice Villa,Biryani,Indian,1231.3,1,52,Mumbai,2.6,Card
100026,28-02-2024,Pizza Nation,Pasta,Italian,134.99,4,68,Pune,4.3,UPI
100027,25-03-2024,Pasta Point,Salad,Healthy,178.58,6,61,delhi,4.4,Card
100028,30-01-2024,Healthy Bites,Pasta,Italian,456.96,7,50,Hyderabad,4.9,UPI
