Order_ID,Date,Restaurant,Food_Item,Category,Price,Quantity,Delivery_Time_Minutes,City,Customer_Rating,Payment_Method,Date_Flag,Day,Month,Month_Name,Revenue
100001,2024-01-08,Burger Hub,Pizza,Fast Food,427.75,2,79.0,mumbai,2.7,cash,False,8,1,January,855.5
100002,2024-04-18,Sushi World,Sandwich,Snacks,1075.88,8,10.0,delhi,1.6,upi,False,18,4,April,8607.04
100003,2024-04-06,Pizza Nation,Noodles,Chinese,217.34,5,68.0,mumbai,4.9,card,False,6,4,April,1086.7
100004,2024-04-26,Sushi World,Paneer Tikka,Indian,145.07,5,39.0,bangalore,2.5,upi,False,26,4,April,725.3499999999999
100005,2024-04-28,Pasta Point,Noodles,Chinese,459.11,2,31.0,pune,2.0,upi,False,28,4,April,918.22
100006,2024-06-13,Burger Hub,Noodles,Chinese,125.58,5,51.883720930232556,mumbai,3.0,upi,False,13,6,June,627.9
100007,2024-01-13,Wok Station,Biryani,Indian,1140.76,7,27.0,delhi,1.4,upi,False,13,1,January,7985.32
100008,2024-03-09,Healthy Bites,Salad,Healthy,883.24,1,24.0,bangalore,3.1,cash,False,9,3,March,883.24
100009,2024-06-09,Cafe Aroma,Sushi,Japanese,84.61,5,32.0,pune,1.4,upi,False,9,6,June,423.05
100010,2024-03-02,Pasta Point,Pasta,Italian,845.92,1,72.0,hyderabad,3.0,cash,False,2,3,March,845.92
100011,2024-05-15,Biryani House,Pizza,Fast Food,1468.74,3,70.0,bangalore,1.7,upi,False,15,5,May,4406.22
100012,2024-01-17,Sushi World,Sandwich,Snacks,646.57,6,76.0,hyderabad,2.0,upi,False,17,1,January,3879.42
100013,2024-05-18,Sushi World,Paneer Tikka,Indian,1094.38,3,40.0,hyderabad,2.9,wallet,False,18,5,May,3283.1400000000003
100014,2024-06-21,Biryani House,Biryani,Indian,350.38,7,62.0,pune,3.9,cash,False,21,6,June,2452.66
100015,2024-04-28,Cafe Aroma,Burger,Fast Food,1216.84,4,67.0,delhi,1.7,wallet,False,28,4,April,4867.36
100016,2024-01-16,Pizza Nation,Sandwich,Snacks,1498.98,4,72.0,delhi,4.5,wallet,False,16,1,January,5995.92
100017,2024-05-18,Biryani House,Sushi,Japanese,1069.16,8,47.0,bangalore,1.2,cash,False,18,5,May,8553.28
100018,2024-01-18,Healthy Bites,Burger,Fast Food,1385.53,1,20.0,mumbai,1.3,wallet,False,18,1,January,1385.53
100019,2024-02-22,Healthy Bites,Pizza,Fast Food,924.22,7,82.0,bangalore,4.7,upi,False,22,2,February,6469.54
100020,2024-03-08,Cafe Aroma,Sushi,Japanese,996.61,2,89.0,bangalore,1.9,cash,False,8,3,March,1993.22
100021,2024-06-18,Pasta Point,Biryani,Indian,702.22,5,77.0,delhi,3.0,card,False,18,6,June,3511.1000000000004
100022,2024-05-09,Pizza Nation,Pizza,Fast Food,300.74,4,36.0,delhi,4.4,cash,False,9,5,May,1202.96
100023,2024-06-25,Tandoori Express,Salad,Healthy,1004.72,8,64.0,kolkata,1.4,cash,False,25,6,June,8037.76
100024,2024-03-31,Healthy Bites,Noodles,Chinese,690.3,6,36.0,bangalore,3.7,upi,False,31,3,March,4141.799999999999
100025,2024-06-20,Spice Villa,Biryani,Indian,1231.3,1,52.0,mumbai,2.6,card,False,20,6,June,1231.3
100026,2024-02-28,Pizza Nation,Pasta,Italian,134.99,4,68.0,pune,4.3,upi,False,28,2,February,539.96
100027,2024-03-25,Pasta Point,Salad,Healthy,178.58,6,61.0,delhi,4.4,card,False,25,3,March,1071.48
100028,2024-01-30,Healthy Bites,Pasta,Italian,456.96,7,50.0,hyderabad,4.9,upi,False,30,1,January,3198.72
